Name,Count,Year,Gender,Country
Carlos,3251,1992,M,Chile
Cristian,3103,1992,M,Chile
Nicolás,2955,1992,M,Chile
Jorge,2630,1992,M,Chile
Daniel,2453,1992,M,Chile
Pablo,2394,1992,M,Chile
Rodrigo,2334,1992,M,Chile
Víctor,2305,1992,M,Chile
Matías,2246,1992,M,Chile
Jonathan,1832,1992,M,Chile
Javier,1773,1992,M,Chile
Claudio,1743,1992,M,Chile
Manuel,1743,1992,M,Chile
Eduardo,1714,1992,M,Chile
Camilo,1625,1992,M,Chile
Miguel,1566,1992,M,Chile
Franco,1537,1992,M,Chile
Alejandro,1507,1992,M,Chile
Patricio,1478,1992,M,Chile
Mauricio,1478,1992,M,Chile
Sergio,1448,1992,M,Chile
David,1389,1992,M,Chile
Fabián,1389,1992,M,Chile
Ricardo,1359,1992,M,Chile
Gonzalo,1330,1992,M,Chile
Ignacio,1330,1992,M,Chile
Gabriel,1241,1992,M,Chile
Fernando,1241,1992,M,Chile
Héctor,1241,1992,M,Chile
Pedro,1212,1992,M,Chile
Marcelo,1182,1992,M,Chile
Esteban,1093,1992,M,Chile
Andrés,1034,1992,M,Chile
Oscar,1034,1992,M,Chile
Alexis,975,1992,M,Chile
Cristóbal,975,1992,M,Chile
Álvaro,946,1992,M,Chile
Roberto,946,1992,M,Chile
Jaime,916,1992,M,Chile
Gustavo,916,1992,M,Chile
César,916,1992,M,Chile
Mario,887,1992,M,Chile
Marco,798,1992,M,Chile
Benjamín,7402,2003,M,Chile
Matías,4992,2003,M,Chile
Sebastián,3885,2003,M,Chile
Diego,3615,2003,M,Chile
Nicolás,3246,2003,M,Chile
Vicente,2779,2003,M,Chile
José,2754,2003,M,Chile
Felipe,2533,2003,M,Chile
Joaquín,2410,2003,M,Chile
Martín,2336,2003,M,Chile
Juan,2287,2003,M,Chile
Francisco,2115,2003,M,Chile
Ignacio,1967,2003,M,Chile
Bastián,1894,2003,M,Chile
Javier,1771,2003,M,Chile
Cristóbal,1672,2003,M,Chile
Luis,1598,2003,M,Chile
Tomás,1451,2003,M,Chile
Daniel,1426,2003,M,Chile
Carlos,1353,2003,M,Chile
Cristián,1328,2003,M,Chile
Pablo,1279,2003,M,Chile
Gabriel,1254,2003,M,Chile
Lucas,1131,2003,M,Chile
Rodrigo,1131,2003,M,Chile
Jorge,1057,2003,M,Chile
Maximiliano,1057,2003,M,Chile
Fernando,1008,2003,M,Chile
Kevin,984,2003,M,Chile
David,934,2003,M,Chile
Fabián,934,2003,M,Chile
Renato,885,2003,M,Chile
Víctor,861,2003,M,Chile
Álvaro,787,2003,M,Chile
Camilo,787,2003,M,Chile
Alejandro,762,2003,M,Chile
Miguel,762,2003,M,Chile
Eduardo,762,2003,M,Chile
Manuel,762,2003,M,Chile
Marcelo,738,2003,M,Chile
Leandro,689,2003,M,Chile
Franco,689,2003,M,Chile
Esteban,689,2003,M,Chile
Mauricio,639,2003,M,Chile
Patricio,639,2003,M,Chile
Claudio,615,2003,M,Chile
Pedro,615,2003,M,Chile
Agustín,615,2003,M,Chile
Ricardo,615,2003,M,Chile
Alonso,590,2003,M,Chile
Sergio,566,2003,M,Chile
Ángel,566,2003,M,Chile
Andrés,566,2003,M,Chile
Alexander,566,2003,M,Chile
Cristopher,516,2003,M,Chile
Gonzalo,516,2003,M,Chile
Brayan,492,2003,M,Chile
Óscar,492,2003,M,Chile
Jonathan,492,2003,M,Chile
Alan,467,2003,M,Chile
Ariel,467,2003,M,Chile
Brandon,443,2003,M,Chile
Alexis,443,2003,M,Chile
Jesús,418,2003,M,Chile
Iván,418,2003,M,Chile
Bryan,418,2003,M,Chile
Leonardo,418,2003,M,Chile
Marco,418,2003,M,Chile
César,418,2003,M,Chile
Héctor,418,2003,M,Chile
Jean,393,2003,M,Chile
Bruno,393,2003,M,Chile
Roberto,369,2003,M,Chile
Jordan,369,2003,M,Chile
Gustavo,369,2003,M,Chile
Alex,369,2003,M,Chile
Luciano,344,2003,M,Chile
Angelo,344,2003,M,Chile
Damián,344,2003,M,Chile
Rafael,344,2003,M,Chile
Guillermo,320,2003,M,Chile
Jeremy,320,2003,M,Chile
Elías,320,2003,M,Chile
Lukas,320,2003,M,Chile
Samuel,320,2003,M,Chile
Christian,295,2003,M,Chile
Thomas,295,2003,M,Chile
Mario,295,2003,M,Chile
Antonio,295,2003,M,Chile
Emilio,271,2003,M,Chile
Jaime,271,2003,M,Chile
Raúl,271,2003,M,Chile
Cristofer,271,2003,M,Chile
Simón,271,2003,M,Chile
Josué,246,2003,M,Chile
Santiago,246,2003,M,Chile
Christopher,246,2003,M,Chile
Isaac,246,2003,M,Chile
Michael,246,2003,M,Chile
Jason,246,2003,M,Chile
Felipe,5104,1993,M,Chile
José,5046,1993,M,Chile
Juan,4379,1993,M,Chile
Diego,4379,1993,M,Chile
Nicolás,4263,1993,M,Chile
Luis,4089,1993,M,Chile
Sebastián,4002,1993,M,Chile
Carlos,3451,1993,M,Chile
Francisco,3393,1993,M,Chile
Cristian,2668,1993,M,Chile
Jorge,2610,1993,M,Chile
Matías,2378,1993,M,Chile
Daniel,2349,1993,M,Chile
Pablo,2291,1993,M,Chile
Víctor,2146,1993,M,Chile
Rodrigo,2088,1993,M,Chile
Miguel,1827,1993,M,Chile
Javier,1798,1993,M,Chile
Ignacio,1740,1993,M,Chile
Eduardo,1653,1993,M,Chile
Franco,1653,1993,M,Chile
Manuel,1595,1993,M,Chile
Patricio,1566,1993,M,Chile
Claudio,1566,1993,M,Chile
Jonathan,1537,1993,M,Chile
Marcelo,1421,1993,M,Chile
Alejandro,1421,1993,M,Chile
Camilo,1421,1993,M,Chile
Fabián,1392,1993,M,Chile
Mauricio,1363,1993,M,Chile
Sergio,1334,1993,M,Chile
Gabriel,1305,1993,M,Chile
David,1305,1993,M,Chile
Gonzalo,1247,1993,M,Chile
Ricardo,1218,1993,M,Chile
Fernando,1131,1993,M,Chile
Álvaro,1131,1993,M,Chile
Pedro,1131,1993,M,Chile
Andrés,1102,1993,M,Chile
Héctor,1102,1993,M,Chile
Esteban,1044,1993,M,Chile
Bastián,1015,1993,M,Chile
Oscar,986,1993,M,Chile
Cristóbal,928,1993,M,Chile
Roberto,870,1993,M,Chile
Jaime,870,1993,M,Chile
Iván,841,1993,M,Chile
Alexis,812,1993,M,Chile
César,812,1993,M,Chile
Marco,783,1993,M,Chile
María,8138,1990,F,Chile
Camila,4833,1990,F,Chile
Daniela,4771,1990,F,Chile
Nicole,4615,1990,F,Chile
Katherine,3399,1990,F,Chile
Carolina,3118,1990,F,Chile
Claudia,2463,1990,F,Chile
Ana,2307,1990,F,Chile
Francisca,2307,1990,F,Chile
Natalia,1964,1990,F,Chile
Constanza,1871,1990,F,Chile
Paulina,1871,1990,F,Chile
Karen,1840,1990,F,Chile
Carla,1684,1990,F,Chile
Macarena,1559,1990,F,Chile
Alejandra,1497,1990,F,Chile
Catalina,1466,1990,F,Chile
Javiera,1372,1990,F,Chile
Bárbara,1372,1990,F,Chile
Valeria,1310,1990,F,Chile
