Rank,Name,Count,Gender,Year,Country
41,Patricia,524,F,1999,Chile
42,Karina,499,F,1999,Chile
43,Tiare,499,F,1999,Chile
44,Victoria,499,F,1999,Chile
45,Anaís,499,F,1999,Chile
46,Marcela,499,F,1999,Chile
47,Krishna,474,F,1999,Chile
48,Michelle,474,F,1999,Chile
49,Estefanía,474,F,1999,Chile
50,Elizabeth,449,F,1999,Chile
1,Catalina,4833,F,2004,Chile
2,Valentina,4594,F,2004,Chile
3,Constanza,4426,F,2004,Chile
4,Javiera,3804,F,2004,Chile
5,Fernanda,3326,F,2004,Chile
6,Maria,3302,F,2004,Chile
7,Antonia,2895,F,2004,Chile
8,Francisca,2728,F,2004,Chile
9,Sofia,2680,F,2004,Chile
10,Martina,2608,F,2004,Chile
11,Camila,2249,F,2004,Chile
12,Isidora,1962,F,2004,Chile
13,Daniela,1507,F,2004,Chile
14,Florencia,1459,F,2004,Chile
15,Belen,1316,F,2004,Chile
16,Millaray,1244,F,2004,Chile
17,Josefa,1077,F,2004,Chile
18,Barbara,1029,F,2004,Chile
19,Monserrat,861,F,2004,Chile
20,Antonella,837,F,2004,Chile
21,Ignacia,813,F,2004,Chile
22,Pia,790,F,2004,Chile
23,Carolina,766,F,2004,Chile
24,Anais,718,F,2004,Chile
25,Rocio,718,F,2004,Chile
26,Carla,694,F,2004,Chile
27,Gabriela,694,F,2004,Chile
28,Paula,694,F,2004,Chile
29,Natalia,598,F,2004,Chile
30,Genesis,598,F,2004,Chile
31,Paz,550,F,2004,Chile
32,Victoria,550,F,2004,Chile
33,Renata,526,F,2004,Chile
34,Emilia,526,F,2004,Chile
35,Paloma,526,F,2004,Chile
36,Alejandra,502,F,2004,Chile
37,Tamara,502,F,2004,Chile
38,Krishna,502,F,2004,Chile
39,Nicole,502,F,2004,Chile
40,Amanda,479,F,2004,Chile
41,Katherine,479,F,2004,Chile
42,Karla,455,F,2004,Chile
43,Magdalena,455,F,2004,Chile
44,Karen,431,F,2004,Chile
45,Macarena,431,F,2004,Chile
46,Trinidad,431,F,2004,Chile
47,Claudia,431,F,2004,Chile
48,Paulina,407,F,2004,Chile
49,Alexandra,407,F,2004,Chile
50,Kiara,383,F,2004,Chile
51,Katalina,359,F,2004,Chile
52,Josefina,359,F,2004,Chile
53,Ana,359,F,2004,Chile
54,Michelle,359,F,2004,Chile
55,Valeria,335,F,2004,Chile
56,Romina,335,F,2004,Chile
57,Consuelo,335,F,2004,Chile
58,Mariana,335,F,2004,Chile
59,Angela,335,F,2004,Chile
60,Maura,311,F,2004,Chile
61,Laura,311,F,2004,Chile
62,Noelia,287,F,2004,Chile
63,Rayen,287,F,2004,Chile
64,Maite,287,F,2004,Chile
65,Alondra,263,F,2004,Chile
66,Danae,263,F,2004,Chile
67,Dafne,263,F,2004,Chile
68,Isabel,263,F,2004,Chile
69,Elizabeth,263,F,2004,Chile
70,Andrea,239,F,2004,Chile
71,Karina,239,F,2004,Chile
72,Almendra,239,F,2004,Chile
73,Estefania,239,F,2004,Chile
74,Thiare,239,F,2004,Chile
75,Montserrat,239,F,2004,Chile
76,Marcela,239,F,2004,Chile
77,Patricia,239,F,2004,Chile
78,Tiare,215,F,2004,Chile
79,Cristina,215,F,2004,Chile
80,Vanessa,215,F,2004,Chile
81,Scarlett,215,F,2004,Chile
82,Noemi,215,F,2004,Chile
83,Jazmin,215,F,2004,Chile
84,Damaris,215,F,2004,Chile
85,Isabella,215,F,2004,Chile
86,Pamela,215,F,2004,Chile
87,Denisse,191,F,2004,Chile
88,Aylin,191,F,2004,Chile
89,Dominique,191,F,2004,Chile
90,Christell,191,F,2004,Chile
91,Matilda,191,F,2004,Chile
92,Nayareth,191,F,2004,Chile
93,Paola,191,F,2004,Chile
94,Esperanza,191,F,2004,Chile
95,Ayline,167,F,2004,Chile
96,Sophia,167,F,2004,Chile
97,Nicol,167,F,2004,Chile
98,Geraldine,167,F,2004,Chile
99,Agustina,167,F,2004,Chile
100,Yuliana,167,F,2004,Chile
1,Camila,9019,F,1995,Chile
2,María,6517,F,1995,Chile
3,Constanza,3877,F,1995,Chile
4,Daniela,3822,F,1995,Chile
5,Javiera,3602,F,1995,Chile
6,Francisca,3080,F,1995,Chile
7,Valentina,2695,F,1995,Chile
8,Nicole,2612,F,1995,Chile
9,Catalina,2282,F,1995,Chile
10,Carolina,2117,F,1995,Chile
11,Bárbara,2117,F,1995,Chile
12,Claudia,1870,F,1995,Chile
13,Fernanda,1732,F,1995,Chile
14,Macarena,1677,F,1995,Chile
15,Katherine,1677,F,1995,Chile
16,Paula,1402,F,1995,Chile
17,Natalia,1375,F,1995,Chile
18,Carla,1292,F,1995,Chile
19,Gabriela,1072,F,1995,Chile
20,Karina,1045,F,1995,Chile
21,Alejandra,1017,F,1995,Chile
22,Paulina,990,F,1995,Chile
23,Tamara,962,F,1995,Chile
24,Ana,962,F,1995,Chile
25,Valeria,962,F,1995,Chile
26,Andrea,852,F,1995,Chile
27,Marcela,825,F,1995,Chile
28,Elizabeth,770,F,1995,Chile
29,Patricia,770,F,1995,Chile
30,Karla,742,F,1995,Chile
31,Karen,715,F,1995,Chile
32,Romina,715,F,1995,Chile
33,Rocío,715,F,1995,Chile
34,Belén,715,F,1995,Chile
35,Pamela,687,F,1995,Chile
36,Sofía,687,F,1995,Chile
37,Vanessa,687,F,1995,Chile
38,Nicol,660,F,1995,Chile
39,Paola,632,F,1995,Chile
40,Victoria,577,F,1995,Chile
41,Angela,522,F,1995,Chile
42,Tania,522,F,1995,Chile
43,Michelle,522,F,1995,Chile
44,Genesis,467,F,1995,Chile
45,Estefanía,467,F,1995,Chile
46,Pía,440,F,1995,Chile
47,Yaritza,440,F,1995,Chile
48,Alexandra,440,F,1995,Chile
49,Isabel,440,F,1995,Chile
