Rank,Name,Count,Gender,Year,Country
93,Dylan,239,M,2005,Chile
94,Emilio,239,M,2005,Chile
95,Bryan,239,M,2005,Chile
96,Josue,239,M,2005,Chile
97,Mario,239,M,2005,Chile
98,Jordan,239,M,2005,Chile
99,Dilan,239,M,2005,Chile
100,Ian,239,M,2005,Chile
1,Nicolás,5969,M,1998,Chile
2,Matías,5483,M,1998,Chile
3,Sebastián,4637,M,1998,Chile
4,Diego,4176,M,1998,Chile
5,José,3997,M,1998,Chile
6,Felipe,3715,M,1998,Chile
7,Ignacio,2921,M,1998,Chile
8,Juan,2716,M,1998,Chile
9,Francisco,2613,M,1998,Chile
10,Luis,2588,M,1998,Chile
11,Javier,2255,M,1998,Chile
12,Carlos,2152,M,1998,Chile
13,Cristian,2050,M,1998,Chile
14,Daniel,1845,M,1998,Chile
15,Rodrigo,1742,M,1998,Chile
16,Bastián,1717,M,1998,Chile
17,Pablo,1691,M,1998,Chile
18,Jorge,1691,M,1998,Chile
19,Benjamín,1640,M,1998,Chile
20,Kevin,1640,M,1998,Chile
21,Cristóbal,1588,M,1998,Chile
22,Marcelo,1409,M,1998,Chile
23,Fabián,1255,M,1998,Chile
24,Joaquín,1204,M,1998,Chile
25,Víctor,1179,M,1998,Chile
26,Bryan,1102,M,1998,Chile
27,Manuel,1076,M,1998,Chile
28,Eduardo,1076,M,1998,Chile
29,David,1076,M,1998,Chile
30,Vicente,1050,M,1998,Chile
31,Franco,1025,M,1998,Chile
32,Alejandro,1025,M,1998,Chile
33,Camilo,999,M,1998,Chile
34,Claudio,974,M,1998,Chile
35,Maximiliano,974,M,1998,Chile
36,Miguel,974,M,1998,Chile
37,Fernando,948,M,1998,Chile
38,Patricio,948,M,1998,Chile
39,Tomás,897,M,1998,Chile
40,Mauricio,871,M,1998,Chile
41,Gabriel,871,M,1998,Chile
42,Sergio,845,M,1998,Chile
43,Andrés,845,M,1998,Chile
44,Ricardo,794,M,1998,Chile
45,Gonzalo,769,M,1998,Chile
46,Esteban,769,M,1998,Chile
47,Pedro,743,M,1998,Chile
48,Brayan,743,M,1998,Chile
49,Álvaro,717,M,1998,Chile
50,Iván,717,M,1998,Chile
1,Nicolás,5911,M,1999,Chile
2,Matías,5088,M,1999,Chile
3,Sebastián,4614,M,1999,Chile
4,Diego,3916,M,1999,Chile
5,José,3492,M,1999,Chile
6,Felipe,3417,M,1999,Chile
7,Juan,2719,M,1999,Chile
8,Benjamín,2644,M,1999,Chile
9,Bastián,2544,M,1999,Chile
10,Ignacio,2444,M,1999,Chile
11,Luis,2444,M,1999,Chile
12,Francisco,2369,M,1999,Chile
13,Javier,2120,M,1999,Chile
14,Carlos,1970,M,1999,Chile
15,Daniel,1920,M,1999,Chile
16,Cristian,1771,M,1999,Chile
17,Cristóbal,1671,M,1999,Chile
18,Jorge,1646,M,1999,Chile
19,Joaquín,1621,M,1999,Chile
20,Pablo,1596,M,1999,Chile
21,Rodrigo,1596,M,1999,Chile
22,Kevin,1521,M,1999,Chile
23,Marcelo,1247,M,1999,Chile
24,Vicente,1222,M,1999,Chile
25,Víctor,1197,M,1999,Chile
26,Fabián,1147,M,1999,Chile
27,Tomás,1147,M,1999,Chile
28,David,1023,M,1999,Chile
29,Eduardo,998,M,1999,Chile
30,Fernando,948,M,1999,Chile
31,Martín,948,M,1999,Chile
32,Alejandro,923,M,1999,Chile
33,Manuel,923,M,1999,Chile
34,Bryan,923,M,1999,Chile
35,Camilo,898,M,1999,Chile
36,Gabriel,873,M,1999,Chile
37,Miguel,873,M,1999,Chile
38,Franco,873,M,1999,Chile
39,Esteban,848,M,1999,Chile
40,Mauricio,848,M,1999,Chile
41,Patricio,848,M,1999,Chile
42,Claudio,823,M,1999,Chile
43,Sergio,798,M,1999,Chile
44,Andrés,773,M,1999,Chile
45,Ricardo,748,M,1999,Chile
46,Brayan,748,M,1999,Chile
47,Lucas,748,M,1999,Chile
48,Gonzalo,723,M,1999,Chile
49,Álvaro,723,M,1999,Chile
50,Pedro,698,M,1999,Chile
1,Benjamin,8183,M,2004,Chile
2,Matias,4450,M,2004,Chile
3,Sebastian,3517,M,2004,Chile
4,Diego,3326,M,2004,Chile
5,Vicente,3110,M,2004,Chile
6,Martin,3110,M,2004,Chile
7,Nicolas,3015,M,2004,Chile
8,Joaquin,2584,M,2004,Chile
9,Jose,2560,M,2004,Chile
10,Cristobal,2440,M,2004,Chile
11,Juan,2225,M,2004,Chile
12,Felipe,2225,M,2004,Chile
13,Ignacio,2129,M,2004,Chile
14,Francisco,1866,M,2004,Chile
15,Bastian,1818,M,2004,Chile
16,Luis,1699,M,2004,Chile
17,Maximiliano,1699,M,2004,Chile
18,Javier,1603,M,2004,Chile
19,Tomas,1531,M,2004,Chile
20,Gabriel,1268,M,2004,Chile
21,Daniel,1244,M,2004,Chile
22,Carlos,1244,M,2004,Chile
23,Pablo,1196,M,2004,Chile
24,Cristian,1172,M,2004,Chile
25,Lucas,1077,M,2004,Chile
26,Jorge,1077,M,2004,Chile
27,Rodrigo,1077,M,2004,Chile
28,Fernando,1053,M,2004,Chile
29,David,957,M,2004,Chile
30,Kevin,885,M,2004,Chile
31,Renato,885,M,2004,Chile
32,Fabian,861,M,2004,Chile
33,Miguel,766,M,2004,Chile
34,Victor,766,M,2004,Chile
35,Agustin,742,M,2004,Chile
36,Franco,718,M,2004,Chile
37,Camilo,718,M,2004,Chile
