Rank,Name,Count,Year,Country
76,Isabel,215,2005,Chile
77,Tiare,215,2005,Chile
78,Elizabeth,215,2005,Chile
79,Esperanza,215,2005,Chile
80,Dayris,215,2005,Chile
81,Marcela,215,2005,Chile
82,Colomba,215,2005,Chile
83,Emily,191,2005,Chile
84,Tania,191,2005,Chile
85,Scarlett,191,2005,Chile
86,Patricia,191,2005,Chile
87,Karina,191,2005,Chile
88,Denisse,191,2005,Chile
89,Damaris,191,2005,Chile
90,Pamela,191,2005,Chile
91,Nicol,168,2005,Chile
92,Yasmin,168,2005,Chile
93,Franchesca,168,2005,Chile
94,Sophia,168,2005,Chile
95,Nayareth,168,2005,Chile
96,Giuliana,168,2005,Chile
97,Ayleen,168,2005,Chile
98,Montserrat,168,2005,Chile
99,Aylin,168,2005,Chile
100,Scarleth,168,2005,Chile
1,Javiera,7276,1998,Chile
2,Camila,7020,1998,Chile
3,María,5457,1998,Chile
4,Catalina,4586,1998,Chile
5,Francisca,3766,1998,Chile
6,Constanza,3407,1998,Chile
7,Valentina,3331,1998,Chile
8,Daniela,2664,1998,Chile
9,Fernanda,1921,1998,Chile
10,Bárbara,1819,1998,Chile
11,Carolina,1563,1998,Chile
12,Sofía,1255,1998,Chile
13,Paula,1179,1998,Chile
14,Carla,1153,1998,Chile
15,Natalia,1127,1998,Chile
16,Katherine,1102,1998,Chile
17,Claudia,1076,1998,Chile
18,Tamara,1050,1998,Chile
19,Nicole,974,1998,Chile
20,Valeria,948,1998,Chile
21,Belén,897,1998,Chile
22,Gabriela,871,1998,Chile
23,Alejandra,845,1998,Chile
24,Paulina,845,1998,Chile
25,Rocío,845,1998,Chile
26,Macarena,820,1998,Chile
27,Karla,717,1998,Chile
28,Romina,717,1998,Chile
29,Karina,692,1998,Chile
30,Michelle,692,1998,Chile
31,Antonia,666,1998,Chile
32,Ana,640,1998,Chile
33,Andrea,615,1998,Chile
34,Isidora,615,1998,Chile
35,Josefa,589,1998,Chile
36,Patricia,589,1998,Chile
37,Marcela,564,1998,Chile
38,Vanessa,564,1998,Chile
39,Karen,538,1998,Chile
40,Genesis,538,1998,Chile
41,Elizabeth,538,1998,Chile
42,Danitza,512,1998,Chile
43,Ignacia,487,1998,Chile
44,Victoria,487,1998,Chile
45,Tiare,487,1998,Chile
46,Alexandra,487,1998,Chile
47,Estefanía,461,1998,Chile
48,Denisse,436,1998,Chile
49,Pamela,410,1998,Chile
50,Paola,384,1998,Chile
1,Javiera,6609,1999,Chile
2,Catalina,5562,1999,Chile
3,Camila,5287,1999,Chile
4,María,4639,1999,Chile
5,Valentina,4115,1999,Chile
6,Francisca,3417,1999,Chile
7,Constanza,3068,1999,Chile
8,Daniela,2569,1999,Chile
9,Fernanda,2295,1999,Chile
10,Bárbara,1646,1999,Chile
11,Sofía,1621,1999,Chile
12,Carolina,1397,1999,Chile
13,Carla,1048,1999,Chile
14,Natalia,998,1999,Chile
15,Belén,998,1999,Chile
16,Tamara,998,1999,Chile
17,Katherine,973,1999,Chile
18,Paula,948,1999,Chile
19,Claudia,923,1999,Chile
20,Rocío,848,1999,Chile
21,Paulina,823,1999,Chile
22,Valeria,823,1999,Chile
23,Nicole,823,1999,Chile
24,Gabriela,798,1999,Chile
25,Ignacia,748,1999,Chile
26,Macarena,723,1999,Chile
27,Alejandra,723,1999,Chile
28,Antonia,698,1999,Chile
29,Alexandra,673,1999,Chile
30,Karla,648,1999,Chile
31,Isidora,648,1999,Chile
32,Scarlett,599,1999,Chile
33,Denisse,574,1999,Chile
34,Génesis,574,1999,Chile
35,Ana,549,1999,Chile
36,Andrea,549,1999,Chile
37,Josefa,549,1999,Chile
38,Vanessa,524,1999,Chile
39,Romina,524,1999,Chile
40,Karen,524,1999,Chile
41,Patricia,524,1999,Chile
42,Karina,499,1999,Chile
43,Tiare,499,1999,Chile
44,Victoria,499,1999,Chile
45,Anaís,499,1999,Chile
46,Marcela,499,1999,Chile
47,Krishna,474,1999,Chile
48,Michelle,474,1999,Chile
49,Estefanía,474,1999,Chile
50,Elizabeth,449,1999,Chile
1,Catalina,4833,2004,Chile
2,Valentina,4594,2004,Chile
3,Constanza,4426,2004,Chile
4,Javiera,3804,2004,Chile
5,Fernanda,3326,2004,Chile
6,Maria,3302,2004,Chile
7,Antonia,2895,2004,Chile
8,Francisca,2728,2004,Chile
9,Sofia,2680,2004,Chile
10,Martina,2608,2004,Chile
11,Camila,2249,2004,Chile
12,Isidora,1962,2004,Chile
13,Daniela,1507,2004,Chile
14,Florencia,1459,2004,Chile
15,Belen,1316,2004,Chile
16,Millaray,1244,2004,Chile
17,Josefa,1077,2004,Chile
18,Barbara,1029,2004,Chile
19,Monserrat,861,2004,Chile
20,Antonella,837,2004,Chile
21,Ignacia,813,2004,Chile
22,Pia,790,2004,Chile
23,Carolina,766,2004,Chile
24,Anais,718,2004,Chile
25,Rocio,718,2004,Chile
26,Carla,694,2004,Chile
27,Gabriela,694,2004,Chile
28,Paula,694,2004,Chile
29,Natalia,598,2004,Chile
30,Genesis,598,2004,Chile
31,Paz,550,2004,Chile
32,Victoria,550,2004,Chile
33,Renata,526,2004,Chile
34,Emilia,526,2004,Chile
35,Paloma,526,2004,Chile
36,Alejandra,502,2004,Chile
37,Tamara,502,2004,Chile
38,Krishna,502,2004,Chile
39,Nicole,502,2004,Chile
40,Amanda,479,2004,Chile
41,Katherine,479,2004,Chile
42,Karla,455,2004,Chile
43,Magdalena,455,2004,Chile
44,Karen,431,2004,Chile
45,Macarena,431,2004,Chile
46,Trinidad,431,2004,Chile
47,Claudia,431,2004,Chile
48,Paulina,407,2004,Chile
49,Alexandra,407,2004,Chile
50,Kiara,383,2004,Chile
51,Katalina,359,2004,Chile
52,Josefina,359,2004,Chile
53,Ana,359,2004,Chile
54,Michelle,359,2004,Chile
55,Valeria,335,2004,Chile
56,Romina,335,2004,Chile
57,Consuelo,335,2004,Chile
58,Mariana,335,2004,Chile
59,Angela,335,2004,Chile
60,Maura,311,2004,Chile
61,Laura,311,2004,Chile
62,Noelia,287,2004,Chile
63,Rayen,287,2004,Chile
64,Maite,287,2004,Chile
65,Alondra,263,2004,Chile
66,Danae,263,2004,Chile
67,Dafne,263,2004,Chile
68,Isabel,263,2004,Chile
69,Elizabeth,263,2004,Chile
70,Andrea,239,2004,Chile
71,Karina,239,2004,Chile
72,Almendra,239,2004,Chile
73,Estefania,239,2004,Chile
74,Thiare,239,2004,Chile
75,Montserrat,239,2004,Chile
76,Marcela,239,2004,Chile
77,Patricia,239,2004,Chile
78,Tiare,215,2004,Chile
79,Cristina,215,2004,Chile
80,Vanessa,215,2004,Chile
81,Scarlett,215,2004,Chile
82,Noemi,215,2004,Chile
83,Jazmin,215,2004,Chile
84,Damaris,215,2004,Chile
85,Isabella,215,2004,Chile
86,Pamela,215,2004,Chile
87,Denisse,191,2004,Chile
88,Aylin,191,2004,Chile
89,Dominique,191,2004,Chile
90,Christell,191,2004,Chile
91,Matilda,191,2004,Chile
92,Nayareth,191,2004,Chile
93,Paola,191,2004,Chile
94,Esperanza,191,2004,Chile
95,Ayline,167,2004,Chile
96,Sophia,167,2004,Chile
97,Nicol,167,2004,Chile
98,Geraldine,167,2004,Chile
99,Agustina,167,2004,Chile
100,Yuliana,167,2004,Chile
1,Camila,9019,1995,Chile
2,María,6517,1995,Chile
3,Constanza,3877,1995,Chile
4,Daniela,3822,1995,Chile
5,Javiera,3602,1995,Chile
6,Francisca,3080,1995,Chile
7,Valentina,2695,1995,Chile
8,Nicole,2612,1995,Chile
9,Catalina,2282,1995,Chile
10,Carolina,2117,1995,Chile
11,Bárbara,2117,1995,Chile
12,Claudia,1870,1995,Chile
13,Fernanda,1732,1995,Chile
14,Macarena,1677,1995,Chile
15,Katherine,1677,1995,Chile
16,Paula,1402,1995,Chile
17,Natalia,1375,1995,Chile
18,Carla,1292,1995,Chile
19,Gabriela,1072,1995,Chile
20,Karina,1045,1995,Chile
21,Alejandra,1017,1995,Chile
22,Paulina,990,1995,Chile
23,Tamara,962,1995,Chile
24,Ana,962,1995,Chile
25,Valeria,962,1995,Chile
26,Andrea,852,1995,Chile
27,Marcela,825,1995,Chile
28,Elizabeth,770,1995,Chile
29,Patricia,770,1995,Chile
30,Karla,742,1995,Chile
31,Karen,715,1995,Chile
32,Romina,715,1995,Chile
33,Rocío,715,1995,Chile
34,Belén,715,1995,Chile
35,Pamela,687,1995,Chile
36,Sofía,687,1995,Chile
37,Vanessa,687,1995,Chile
38,Nicol,660,1995,Chile
39,Paola,632,1995,Chile
40,Victoria,577,1995,Chile
41,Angela,522,1995,Chile
42,Tania,522,1995,Chile
43,Michelle,522,1995,Chile
44,Genesis,467,1995,Chile
45,Estefanía,467,1995,Chile
46,Pía,440,1995,Chile
47,Yaritza,440,1995,Chile
48,Alexandra,440,1995,Chile
49,Isabel,440,1995,Chile
50,Jocelyn,412,1995,Chile
1,María,7713,1992,Chile
2,Camila,5408,1992,Chile
3,Daniela,4167,1992,Chile
4,Nicole,3162,1992,Chile
5,Carolina,3073,1992,Chile
6,Constanza,2985,1992,Chile
7,Francisca,2719,1992,Chile
8,Katherine,2600,1992,Chile
9,Bárbara,2482,1992,Chile
10,Javiera,2275,1992,Chile
11,Claudia,2187,1992,Chile
12,Natalia,1832,1992,Chile
13,Valentina,1803,1992,Chile
14,Fernanda,1714,1992,Chile
15,Gabriela,1625,1992,Chile
16,Catalina,1537,1992,Chile
17,Carla,1478,1992,Chile
18,Ana,1389,1992,Chile
19,Paulina,1389,1992,Chile
20,Macarena,1359,1992,Chile
21,Paula,1271,1992,Chile
22,Alejandra,1182,1992,Chile
23,Tamara,1152,1992,Chile
24,Andrea,1152,1992,Chile
25,Valeria,1152,1992,Chile
26,Jocelyn,1123,1992,Chile
27,Romina,1064,1992,Chile
28,Estefanía,1034,1992,Chile
29,Elizabeth,1005,1992,Chile
30,Karen,1005,1992,Chile
31,Karina,975,1992,Chile
32,Patricia,916,1992,Chile
33,Marcela,887,1992,Chile
34,Evelyn,887,1992,Chile
35,Pamela,887,1992,Chile
36,Nicol,739,1992,Chile
37,Vanessa,709,1992,Chile
38,Karla,680,1992,Chile
39,Yesenia,680,1992,Chile
40,Victoria,680,1992,Chile
41,Verónica,650,1992,Chile
42,Rocío,621,1992,Chile
43,Jessica,591,1992,Chile
44,Paola,591,1992,Chile
45,Yessenia,591,1992,Chile
46,Mariana,561,1992,Chile
47,Belén,561,1992,Chile
48,Nataly,561,1992,Chile
49,Viviana,532,1992,Chile
50,Joselyn,532,1992,Chile
1,Catalina,5435,2003,Chile
2,Javiera,4451,2003,Chile
3,Valentina,4402,2003,Chile
4,Constanza,4254,2003,Chile
5,María,4058,2003,Chile
6,Fernanda,3221,2003,Chile
7,Antonia,2877,2003,Chile
8,Francisca,2754,2003,Chile
9,Camila,2508,2003,Chile
10,Sofía,2361,2003,Chile
11,Martina,1746,2003,Chile
12,Daniela,1746,2003,Chile
13,Isidora,1475,2003,Chile
14,Belén,1230,2003,Chile
15,Millaray,1205,2003,Chile
16,Bárbara,1180,2003,Chile
17,Pía,984,2003,Chile
18,Josefa,934,2003,Chile
19,Monserrat,885,2003,Chile
20,Natalia,861,2003,Chile
21,Carla,861,2003,Chile
22,Anaís,836,2003,Chile
23,Carolina,812,2003,Chile
24,Paula,713,2003,Chile
25,Tamara,689,2003,Chile
26,Ignacia,664,2003,Chile
27,Krishna,664,2003,Chile
28,Rocío,639,2003,Chile
29,Paloma,639,2003,Chile
30,Katherine,615,2003,Chile
31,Nicole,615,2003,Chile
32,Karla,615,2003,Chile
33,Florencia,590,2003,Chile
34,Génesis,590,2003,Chile
35,Gabriela,566,2003,Chile
36,Alejandra,541,2003,Chile
37,Renata,541,2003,Chile
38,Macarena,516,2003,Chile
39,Claudia,492,2003,Chile
40,Paz,492,2003,Chile
41,Paulina,467,2003,Chile
42,Romina,467,2003,Chile
43,Victoria,467,2003,Chile
44,Valeria,418,2003,Chile
45,Antonella,418,2003,Chile
46,Alexandra,418,2003,Chile
47,Ana,418,2003,Chile
48,Kiara,393,2003,Chile
49,Katalina,393,2003,Chile
50,Consuelo,369,2003,Chile
51,Emilia,369,2003,Chile
52,Michelle,369,2003,Chile
53,Amanda,369,2003,Chile
54,Ángela,344,2003,Chile
55,Dafne,344,2003,Chile
56,Thiare,344,2003,Chile
57,Maura,344,2003,Chile
58,Tiare,320,2003,Chile
59,Maite,320,2003,Chile
60,Elizabeth,295,2003,Chile
61,Laura,295,2003,Chile
62,Almendra,295,2003,Chile
63,Patricia,295,2003,Chile
64,Danae,295,2003,Chile
65,Josefina,295,2003,Chile
66,Andrea,295,2003,Chile
67,Estefanía,271,2003,Chile
68,Mariana,271,2003,Chile
